iter	Passed	Remaining
0	116	116265
1	118	59047
2	120	39959
3	122	30477
4	124	24855
5	126	21002
6	128	18227
7	131	16255
8	132	14642
9	135	13371
10	137	12404
11	139	11514
12	141	10745
13	143	10109
14	145	9572
15	147	9066
16	149	8636
17	151	8265
18	153	7912
19	155	7600
20	157	7324
21	159	7071
22	161	6841
23	162	6626
24	165	6435
25	167	6259
26	168	6086
27	170	5921
28	172	5775
29	174	5635
30	176	5506
31	177	5383
32	179	5272
33	181	5163
34	183	5061
35	185	4959
36	187	4870
37	188	4784
38	190	4699
39	192	4618
40	194	4541
41	195	4467
42	197	4393
43	199	4336
44	201	4281
45	203	4227
46	205	4170
47	207	4122
48	209	4068
49	211	4020
50	213	3980
51	215	3931
52	217	3884
53	219	3837
54	221	3801
55	222	3757
56	224	3718
57	226	3681
58	228	3644
59	230	3607
60	231	3569
61	233	3534
62	235	3509
63	238	3482
64	240	3453
65	241	3423
66	243	3395
67	245	3363
68	247	3335
69	248	3307
70	251	3285
71	252	3258
72	254	3231
73	256	3207
74	258	3189
75	260	3165
76	262	3141
77	263	3117
78	265	3099
79	267	3079
80	269	3057
81	271	3035
82	272	3008
83	274	2988
84	275	2970
85	277	2950
86	279	2932
87	281	2915
88	283	2898
89	285	2882
90	286	2865
91	288	2847
92	290	2829
93	291	2813
94	294	2803
95	296	2792
96	298	2775
97	299	2760
98	301	2745
99	303	2733
100	305	2719
101	307	2706
102	309	2695
103	311	2683
104	313	2670
105	315	2658
106	317	2650
107	319	2639
108	321	2627
109	323	2618
110	325	2607
111	327	2594
112	329	2583
113	331	2573
114	332	2562
115	334	2550
116	336	2536
117	338	2526
118	340	2518
119	341	2506
120	343	2495
121	345	2484
122	347	2477
123	349	2468
124	351	2458
125	353	2449
126	354	2438
127	356	2429
128	358	2420
129	360	2415
130	363	2412
131	365	2402
132	368	2399
133	370	2391
134	372	2384
135	374	2378
136	376	2373
137	378	2365
138	380	2357
139	385	2365
140	387	2360
141	389	2351
142	391	2345
143	392	2336
144	394	2328
145	397	2322
146	399	2315
147	400	2307
148	402	2300
149	404	2294
150	406	2286
151	408	2278
152	410	2270
153	412	2264
154	413	2255
155	415	2249
156	417	2243
157	419	2237
158	422	2232
159	423	2225
160	425	2215
161	427	2209
162	429	2203
163	430	2195
164	432	2189
165	434	2185
166	436	2178
167	438	2172
168	440	2165
169	442	2160
170	444	2155
171	448	2157
172	450	2152
173	452	2145
174	454	2140
175	456	2137
176	458	2130
177	460	2124
178	462	2120
179	464	2114
180	466	2110
181	468	2104
182	470	2099
183	472	2094
184	474	2089
185	476	2086
186	478	2079
187	480	2073
188	482	2068
189	484	2063
190	485	2058
191	488	2053
